Textbox147,Textbox148,Textbox152,Table5Title_tbx3,Table5Title_tbx4,Textbox154,Textbox146,Textbox159,Table5Title_tbx2,Table5Title_tbx6
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.520395830726405,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.403172127659481,,,,
Show/hide quarterly totals,,,,,,all qty mo,2021,,0.366522569549037,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.459883648878114,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.455798976974334,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.48784451775149,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.448344494728631,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.508829418572792,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.553766441647234,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.612267626411401,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.642023354641217,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.621029962164159,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.479110544002943,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.569906880003854,,,,
Show/hide quarterly totals,,,,,,all qty mo,2022,,0.518891301210914,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.577068029019167,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.564398776182884,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.540706409759756,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.61129709172774,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.589268679016792,,,,
Show/hide quarterly totals,,,,,,all qty mo,2023,,0.637992553544277,,,,
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2023,0.58,0.56,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2023,0.56,0.56,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2023,0.54,0.56,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2023,0.61,0.61,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2023,0.59,0.61,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2023,0.64,0.61,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2023,NA,NaN,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2023,NA,NaN,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2023,NA,NaN,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2023,NA,NaN,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2023,NA,NaN,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2023,NA,NaN,0.59
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2022,0.46,0.47,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2022,0.46,0.47,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2022,0.49,0.47,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2022,0.45,0.51,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2022,0.51,0.51,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2022,0.55,0.51,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2022,0.61,0.62,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2022,0.64,0.62,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2022,0.62,0.62,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2022,0.48,0.51,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2022,0.57,0.51,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2022,0.52,0.51,0.53
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2021,0.45,0.42,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2021,0.38,0.42,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2021,0.43,0.42,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2021,0.40,0.45,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2021,0.44,0.45,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2021,0.50,0.45,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2021,0.48,0.54,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2021,0.62,0.54,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2021,0.55,0.54,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2021,0.52,0.44,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2021,0.40,0.44,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2021,0.37,0.44,0.46
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2020,0.57,0.60,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2020,0.60,0.60,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2020,0.63,0.60,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2020,0.55,0.57,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2020,0.49,0.57,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2020,0.65,0.57,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2020,0.63,0.59,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2020,0.57,0.59,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2020,0.57,0.59,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2020,0.49,0.46,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2020,0.44,0.46,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2020,0.41,0.46,0.54
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Jan,Q1,,,,,2019,0.47,0.43,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Feb,Q1,,,,,2019,0.39,0.43,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 1,Mar,Q1,,,,,2019,0.43,0.43,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Apr,Q2,,,,,2019,0.44,0.42,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,May,Q2,,,,,2019,0.37,0.42,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 2,Jun,Q2,,,,,2019,0.50,0.42,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Jul,Q3,,,,,2019,0.47,0.49,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Aug,Q3,,,,,2019,0.47,0.49,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 3,Sep,Q3,,,,,2019,0.52,0.49,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Oct,Q4,,,,,2019,0.51,0.44,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Nov,Q4,,,,,2019,0.39,0.44,0.44
Show/hide quarterly totals,Fresh or chilled,Market year*,Quarter 4,Dec,Q4,,,,,2019,0.42,0.44,0.44

Textbox76,stat_year16,marketSegment2,Textbox113,stat_month6,CountryName5,Textbox14,Textbox89,all val yr_label,all val yr_ChartGroup9_label,all val yr_ChartGroup9_Value_Y,ExpDestValue_tbx4,all val yr_label,all val yr_ChartGroup15_label,all val yr_ChartGroup15_Value_Y,all_val_yr,Textbox52,Textbox54,Textbox55,Textbox57,Textbox90,Textbox188,seg Num_label,seg Num_Sparkline5_CategoryGroup_label,seg Num_Sparkline5_CategoryGroup_Value_Y,Textbox103
,,,,,Canada,86.1%,"19,214",all val yr,2019,19503651,,,,,,,,,,,,,,,
,,,,,Canada,86.1%,"19,214",all val yr,2020,20532288,,,,,,,,,,,,,,,
,,,,,Canada,86.1%,"19,214",all val yr,2021,18036364,,,,,,,,,,,,,,,
,,,,,Canada,86.1%,"19,214",all val yr,2022,18784660,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,Canada,86.1%,"19,214",,,,"19,504",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,Canada,86.1%,"19,214",,,,"20,532",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,Canada,86.1%,"19,214",,,,"18,036",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,Canada,86.1%,"19,214",,,,"18,785",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,Canada,86.1%,"19,214",,,,"9,085",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,Canada,86.1%,"19,214",,,,"9,699",,,,,,,,,,,,,,
,,,,,Mexico,8.3%,"2,034",all val yr,2019,1663820,,,,,,,,,,,,,,,
,,,,,Mexico,8.3%,"2,034",all val yr,2020,1470710,,,,,,,,,,,,,,,
,,,,,Mexico,8.3%,"2,034",all val yr,2021,1831758,,,,,,,,,,,,,,,
,,,,,Mexico,8.3%,"2,034",all val yr,2022,3169502,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,Mexico,8.3%,"2,034",,,,"1,664",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,Mexico,8.3%,"2,034",,,,"1,471",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,Mexico,8.3%,"2,034",,,,"1,832",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,Mexico,8.3%,"2,034",,,,"3,170",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,Mexico,8.3%,"2,034",,,,468,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,Mexico,8.3%,"2,034",,,,203,,,,,,,,,,,,,,
,,,,,Japan,3.2%,650,all val yr,2019,2761731,,,,,,,,,,,,,,,
,,,,,Japan,3.2%,650,all val yr,2020,377353,,,,,,,,,,,,,,,
,,,,,Japan,3.2%,650,all val yr,2021,106549,,,,,,,,,,,,,,,
,,,,,Japan,3.2%,650,all val yr,2022,6400,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,Japan,3.2%,650,,,,"2,762",,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,Japan,3.2%,650,,,,377,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,Japan,3.2%,650,,,,107,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,Japan,3.2%,650,,,,6,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,Japan,3.2%,650,,,,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,Japan,3.2%,650,,,,,,,,,,,,,,,,,,
,,,,,United Kingdom,0.4%,78,all val yr,2019,11515,,,,,,,,,,,,,,,
,,,,,United Kingdom,0.4%,78,all val yr,2020,357877,,,,,,,,,,,,,,,
,,,,,United Kingdom,0.4%,78,all val yr,2021,18922,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,United Kingdom,0.4%,78,,,,12,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,United Kingdom,0.4%,78,,,,358,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,United Kingdom,0.4%,78,,,,19,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,United Kingdom,0.4%,78,,,,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,United Kingdom,0.4%,78,,,,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,United Kingdom,0.4%,78,,,,,,,,,,,,,,,,,,
,,,,,Honduras,0.3%,55,all val yr,2019,216736,,,,,,,,,,,,,,,
,,,,,Honduras,0.3%,55,all val yr,2021,60696,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,Honduras,0.3%,55,,,,217,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,Honduras,0.3%,55,,,,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,Honduras,0.3%,55,,,,61,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,Honduras,0.3%,55,,,,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,Honduras,0.3%,55,,,,,,,,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,Honduras,0.3%,55,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,all val yr,2019,342443,,,,,,,,,,,
,,,,,,,,,,,,all val yr,2020,568989,,,,,,,,,,,
,,,,,,,,,,,,all val yr,2021,269215,,,,,,,,,,,
,,,,,,,,,,,,all val yr,2022,403453,,,,,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,342,"Korea, South",0.2%,36,30,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,569,"Korea, South",0.2%,36,90,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,269,"Korea, South",0.2%,36,60,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,403,"Korea, South",0.2%,36,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,36,"Korea, South",0.2%,36,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,132,"Korea, South",0.2%,36,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,342,Taiwan,0.2%,32,24,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,569,Taiwan,0.2%,32,57,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,269,Taiwan,0.2%,32,19,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,403,Taiwan,0.2%,32,60,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,36,Taiwan,0.2%,32,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,132,Taiwan,0.2%,32,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,342,Hong Kong,0.1%,27,72,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,569,Hong Kong,0.1%,27,18,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,269,Hong Kong,0.1%,27,18,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,403,Hong Kong,0.1%,27,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,36,Hong Kong,0.1%,27,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,132,Hong Kong,0.1%,27,40,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,342,Italy,0.1%,29,,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,569,Italy,0.1%,29,143,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,269,Italy,0.1%,29,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,403,Italy,0.1%,29,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,36,Italy,0.1%,29,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,132,Italy,0.1%,29,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,342,Panama,0.1%,15,3,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,569,Panama,0.1%,15,3,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,269,Panama,0.1%,15,20,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,403,Panama,0.1%,15,34,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,36,Panama,0.1%,15,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,132,Panama,0.1%,15,72,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,342,Guatemala,0.1%,23,42,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,569,Guatemala,0.1%,23,11,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,269,Guatemala,0.1%,23,17,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,403,Guatemala,0.1%,23,44,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,36,Guatemala,0.1%,23,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,132,Guatemala,0.1%,23,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,342,Singapore,0.1%,21,36,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,569,Singapore,0.1%,21,37,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,269,Singapore,0.1%,21,16,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,403,Singapore,0.1%,21,16,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,36,Singapore,0.1%,21,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,132,Singapore,0.1%,21,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,342,Federal Republic of Germany,0.1%,17,6,,,,,,
Ranking based on prior 4 annual market year* totals ,2020,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,569,Federal Republic of Germany,0.1%,17,79,,,,,,
Ranking based on prior 4 annual market year* totals ,2021,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,269,Federal Republic of Germany,0.1%,17,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,403,Federal Republic of Germany,0.1%,17,,,,,,,
Ranking based on prior 4 annual market year* totals ,2022,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,36,Federal Republic of Germany,0.1%,17,,,,,,,
Ranking based on prior 4 annual market year* totals ,2023,Fresh or chilled ,ANN: Jan-Dec,Jun YTD,,,,,,,,,,,132,Federal Republic of Germany,0.1%,17,,,,,,,
Ranking based on prior 4 annual market year* totals ,2019,Fresh or chilled ,ANN: Jan-Dec,ANN,,,,,,,,,,,342,Turks and Caicos Islands,0.1%,19,,,,,,,
